        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 CPD extension       |                       | 001813E4 | 00000068 | F904BA76 | ----- IFWI Partition Manifest
 CPD extension       |                       | 0018144C | 00000078 | E8F17B79 | ----- Key Manifest
 Padding             | Empty (FFh)           | 001814C4 | 00000B3C | 47E2624E | ---- Padding
 BPDT partition      |                       | 00182000 | 00012000 | 556CC025 | --- TCSS FW IOM | TCSS FW IOM
 CPD store           |                       | 00182000 | 0000008C | 93F000DF | ---- CPD partition table
 CPD entry           |                       | 00182014 | 00000018 | 82A66EDB | ----- IOMP.man
 CPD entry           |                       | 0018202C | 00000018 | A8B259F7 | ----- iom.met
 CPD entry           |                       | 00182044 | 00000018 | 6026192C | ----- iom
 CPD entry           |                       | 0018205C | 00000018 | E8F69993 | ----- iom.cd
 CPD entry           |                       | 00182074 | 00000018 | C844AE99 | ----- iom.hwcd
 CPD partition       | Manifest              | 0018208C | 00000464 | 25B6E4BB | ---- IOMP.man
 CPD extension       |                       | 00182410 | 00000078 | 32771BF1 | ----- Signed Package Info
 CPD SPI entry       |                       | 00182410 | 00000044 | 3463FFFF | ------ iom.met
 CPD extension       |                       | 00182488 | 00000068 | E54593B3 | ----- IFWI Partition Manifest
 Padding             | Empty (FFh)           | 001824F0 | 00000010 | 3FB3C61A | ---- Padding
 CPD partition       | Metadata              | 00182500 | 000000C0 | 45191D3F | ---- iom.met
 CPD extension       |                       | 00182500 | 000000C0 | 45191D3F | ----- IOM Metadata
 CPD partition       | Code                  | 001825C0 | 00010D5C | 68B24B26 | ---- iom
 Padding             | Empty (FFh)           | 0019331C | 00000024 | 19990159 | ---- Padding
 CPD partition       | Code                  | 00193340 | 000005AC | DBD6AC45 | ---- iom.cd
 Padding             | Empty (FFh)           | 001938EC | 00000014 | 2CF772B0 | ---- Padding
 CPD partition       | Code                  | 00193900 | 0000003C | FDC4B613 | ---- iom.hwcd
 Padding             | Empty (FFh)           | 0019393C | 000006C4 | 35F9C6AC | ---- Padding
 BPDT partition      |                       | 00194000 | 00010000 | F44A6608 | --- TCSS FW PHY | TCSS FW PHY
 CPD store           |                       | 00194000 | 0000005C | B6E77BF4 | ---- CPD partition table
 CPD entry           |                       | 00194014 | 00000018 | 69D14CAC | ----- NPHY.man
 CPD entry           |                       | 0019402C | 00000018 | 27FA7762 | ----- nphy.met
 CPD entry           |                       | 00194044 | 00000018 | 933148A0 | ----- nphy
 CPD partition       | Manifest              | 0019405C | 00000464 | C615366E | ---- NPHY.man
 CPD extension       |                       | 001943E0 | 00000078 | A9A8D4EB | ----- Signed Package Info
 CPD SPI entry       |                       | 001943E0 | 00000044 | F1593EE7 | ------ nphy.met
 CPD extension       |                       | 00194458 | 00000068 | 595F8447 | ----- IFWI Partition Manifest
 CPD partition       | Metadata              | 001944C0 | 00000048 | 81F823B8 | ---- nphy.met
 CPD extension       |                       | 001944C0 | 00000048 | 81F823B8 | ----- MGP Metadata
 Padding             | Empty (FFh)           | 00194508 | 00000038 | D8BBABFB | ---- Padding
 CPD partition       | Code                  | 00194540 | 0000E480 | 4E308F75 | ---- nphy
 Padding             | Empty (FFh)           | 001A29C0 | 00001640 | 2BBC19FA | ---- Padding
 BPDT partition      |                       | 001A4000 | 00001000 | 2765E507 | --- PCH Config | PCH Config
 CPD store           |                       | 001A4000 | 0000005C | 3C283A57 | ---- CPD partition table
 CPD entry           |                       | 001A4014 | 00000018 | 89CFF8E9 | ----- PCHC.man
 CPD entry           |                       | 001A402C | 00000018 | BAA8D676 | ----- IntelRec
 CPD entry           |                       | 001A4044 | 00000018 | 71DD4C0C | ----- IntelRec.met
 CPD partition       | Manifest              | 001A405C | 00000464 | 7CBAEA8E | ---- PCHC.man
 CPD extension       |                       | 001A43E0 | 00000078 | BDF25474 | ----- Signed Package Info
 CPD SPI entry       |                       | 001A43E0 | 00000044 | 9E618E8B | ------ IntelRec
 CPD extension       |                       | 001A4458 | 00000068 | C5F310F0 | ----- IFWI Partition Manifest
 CPD partition       | Metadata              | 001A44C0 | 00000048 | 382F5067 | ---- IntelRec.met
 CPD extension       |                       | 001A44C0 | 00000048 | 382F5067 | ----- Module Attributes
 Padding             | Empty (FFh)           | 001A4508 | 00000038 | D8BBABFB | ---- Padding
 CPD partition       | Code                  | 001A4540 | 00000298 | 27B9416F | ---- IntelRec
 Padding             | Empty (FFh)           | 001A47D8 | 00000828 | CC9B4C21 | ---- Padding
 IFWI partition      | Data                  | 001A5000 | 00088000 | D7430751 | -- Data partition
 FPT store           |                       | 001A5000 | 00000180 | C356BA79 | --- FPT partition table
 FPT entry           | Valid                 | 001A5020 | 00000020 | EDF5726E | ---- PSVN
 FPT entry           | Valid                 | 001A5040 | 00000020 | 837F04A5 | ---- UEP
 FPT entry           | Valid                 | 001A5060 | 00000020 | D52B2EFD | ---- IVBP
 FPT entry           | Valid                 | 001A5080 | 00000020 | FD9C70AA | ---- MFS
 FPT entry           | Valid                 | 001A50A0 | 00000020 | 3A6B7B36 | ---- UTOK
 FPT entry           | Valid                 | 001A50C0 | 00000020 | 238FA702 | ---- HVMP
 FPT entry           | Valid                 | 001A50E0 | 00000020 | 89F16423 | ---- FLOG
 FPT entry           | Valid                 | 001A5100 | 00000020 | DCE3AE92 | ---- EFS
 FPT entry           | Valid                 | 001A5120 | 00000020 | EA7D72B5 | ---- RSTR
 FPT entry           | Valid                 | 001A5140 | 00000020 | F75DC5DD | ---- IMDP
 FPT entry           | Valid                 | 001A5160 | 00000020 | 3A284504 | ---- FITC
 Padding             | Empty (FFh)           | 001A5180 | 00000DC0 | B2568390 | --- Padding
 FPT partition       | Data                  | 001A5F40 | 00000040 | 027688DB | --- IMDP
 FPT partition       | Data                  | 001A5F80 | 00000018 | 01C6463A | --- RSTR
 Padding             | Empty (FFh)           | 001A5F98 | 00000028 | 8CD04C73 | --- Padding
 FPT partition       | Data                  | 001A5FC0 | 0000000C | 63D7E458 | --- HVMP
 Padding             | Empty (FFh)           | 001A5FCC | 00000034 | EB6F5BB4 | --- Padding
 FPT partition       | Data                  | 001A6000 | 00008000 | B2A1BEE6 | --- FITC
 FPT partition       | Data                  | 001AE000 | 00000200 | BD7BC39F | --- PSVN
 Padding             | Empty (FFh)           | 001AE200 | 00000E00 | 5448F443 | --- Padding
 FPT partition       | Data                  | 001AF000 | 00004000 | 690B37D3 | --- IVBP
 FPT partition       | Data                  | 001B3000 | 00064000 | 1A8AC3AD | --- MFS
 FPT partition       | Data                  | 00217000 | 00002000 | ED0EC7EA | --- UTOK
 FPT partition       | Data                  | 00219000 | 00002000 | B4293435 | --- FLOG
 FPT partition       | Data                  | 0021B000 | 00010000 | E8941138 | --- EFS
 FPT partition       | Data                  | 0022B000 | 00002000 | D1D514BA | --- UEP
 IFWI partition      | Boot                  | 0022D000 | 001AC000 | AB40932B | -- Boot partition
 BPDT store          |                       | 0022D000 | 00000084 | 943148B1 | --- BPDT partition table
 BPDT entry          |                       | 0022D018 | 0000000C | E67CFCFE | ---- Debug Launch Module
 BPDT entry          |                       | 0022D024 | 0000000C | 91E22E0E | ---- IFP Bypass
 BPDT entry          |                       | 0022D030 | 0000000C | E376B17F | ---- Secondary BPDT
 BPDT entry          |                       | 0022D03C | 0000000C | E0708A00 | ---- ROM Boot Extensions
 BPDT entry          |                       | 0022D048 | 0000000C | 7EDF8BEE | ---- UFS PHY Config
 BPDT entry          |                       | 0022D054 | 0000000C | E57AC781 | ---- UFS GPP LUN
 BPDT entry          |                       | 0022D060 | 0000000C | 74CB10EC | ---- OEM Key Manifest
 BPDT entry          |                       | 0022D06C | 0000000C | C498EA85 | ---- Main
 BPDT entry          |                       | 0022D078 | 0000000C | BDC91C1F | ---- iUnit
 Padding             | Empty (FFh)           | 0022D084 | 00000F7C | CA039763 | --- Padding
 BPDT partition      |                       | 0022E000 | 001A1000 | 5AA614B3 | --- Main | Main
 CPD store           |                       | 0022E000 | 00000164 | F4A8052E | ---- CPD partition table
 CPD entry           |                       | 0022E014 | 00000018 | 0D289E1E | ----- NFTP.man
